,Time,Scenario,Carbon price (US$2010/t CO2),E12 Emission,Cost E12,Cost E3,Reduced Asset E12,Reduced Asset E123,A/D E12,A/D E123,PD E12,PD E123
0,2025,Nationally Determined Contributions (NDCs) ,25.6532531474326,100000000.0,2565325314.74326,16674614545.83119,273206993325.08676,256532378779.25558,10.170250297341425,9.549530448706344,6.112040159024553e-34,2.9867472892166444e-32
1,2030,Nationally Determined Contributions (NDCs) ,76.7320264625369,80000000.0,6138562117.002952,49875817200.64898,269633756522.82706,219757939322.17807,10.037234988295468,8.180585791503221,1.3900216844264476e-33,2.710255084713494e-28
2,2035,Nationally Determined Contributions (NDCs) ,86.9034962083527,60000000.0,5214209772.501163,56487272535.42926,270558108867.32886,214070836331.8996,10.07164441022169,7.968880885366106,1.1231854672278692e-33,1.1930234902431903e-27
3,2040,Nationally Determined Contributions (NDCs) ,88.8078574230948,40000000.0,3552314296.923792,57725107325.01162,272220004342.90622,214494897017.8946,10.133509199072574,7.9846667306160475,7.6644084445620295e-34,1.0674376398842676e-27
4,2045,Nationally Determined Contributions (NDCs) ,90.7122186378369,20000000.0,1814244372.756738,58962942114.59399,273958074267.07327,214995132152.47928,10.198209615221977,8.003288203164507,5.146658619258005e-34,9.363196688332613e-28
5,2050,Nationally Determined Contributions (NDCs) ,92.616579852579,0.0,0.0,60200776904.176346,275772318639.83,215571541735.6537,10.265745658669898,8.024745303011489,3.4014993025437295e-34,8.052412830636534e-28
6,2025,Delayed transition,0.0,100000000.0,0.0,0.0,275772318639.83,275772318639.83,10.265745658669898,10.265745658669898,3.4014993025437295e-34,3.4014993025437295e-34
7,2030,Delayed transition,0.0,80000000.0,0.0,0.0,275772318639.83,275772318639.83,10.265745658669898,10.265745658669898,3.4014993025437295e-34,3.4014993025437295e-34
8,2035,Delayed transition,343.556706043628,60000000.0,20613402362.617683,223311858928.35822,255158916277.21234,31847057348.854126,9.498402703952125,1.1855206945095875,4.140826447934777e-32,0.15031554329866825
9,2040,Delayed transition,583.336530035282,40000000.0,23333461201.411278,379168744522.9333,252438857438.41873,-126729887084.51456,9.397147319244201,-4.7175756964233635,7.931835261350814e-32,
10,2045,Delayed transition,591.538912685074,20000000.0,11830778253.70148,384500293245.2981,263941540386.12854,-120558752859.16956,9.82533974303758,-4.487852515012817,5.213752152046561e-33,
11,2050,Delayed transition,890.375237765118,0.0,0.0,578743904547.3267,275772318639.83,-302971585907.49664,10.265745658669898,-11.278250326466976,3.4014993025437295e-34,
12,2025,Net Zero 2050,199.48351555771,100000000.0,19948351555.771,129664285112.5115,255823967084.05902,126159681971.54752,9.523159512274495,4.696349560704362,3.534503578846063e-32,2.4409522251079007e-16
13,2030,Net Zero 2050,239.540999857945,80000000.0,19163279988.6356,155701649907.66425,256609038651.19443,100907388743.53018,9.552384146102195,3.7563218564896106,2.932862516349054e-32,1.6324238835965618e-12
14,2035,Net Zero 2050,320.060806574471,60000000.0,19203648394.468258,208039524273.40613,256568670245.36176,48529145971.95563,9.550881414468476,1.8065187689530764,2.961114315007742e-32,0.0006841773756916037
15,2040,Net Zero 2050,488.183229595151,40000000.0,19527329183.806038,317319099236.84814,256244989456.024,-61074109780.82416,9.53883225495048,-2.2735105554900694,3.197805623533791e-32,
16,2045,Net Zero 2050,517.121273435331,20000000.0,10342425468.70662,336128827732.96515,265429893171.1234,-70698934561.84174,9.88074432902536,-2.631798884422149,3.6842513568118764e-33,
17,2050,Net Zero 2050,602.380013036337,0.0,0.0,391547008473.6191,275772318639.83,-115774689833.78906,10.265745658669898,-4.309763668112468,3.4014993025437295e-34,
